"2022-07-01",374723,"data",1119,49380
"2022-07-01",5502610,"https",14117,336590
"2022-08-01",7067627,"ipfs",20523,62333
"2022-08-01",375919,"data",1473,55196
"2022-08-01",5753047,"https",16948,398244
"2022-09-01",6964791,"ipfs",21169,362069
"2022-09-01",1242639,"data",1791,591829
"2022-09-01",5275449,"https",18304,195876
"2022-10-01",261689,"data",1630,46787
"2022-10-01",5376683,"ipfs",19485,120087
"2022-10-01",5566487,"https",20214,206462
"2022-11-01",299938,"data",1500,50998
"2022-11-01",3431063,"ipfs",18100,154534
"2022-11-01",3431855,"https",18636,219929
"2022-12-01",574643,"data",2176,149585
"2022-12-01",4109004,"https",22380,206979
"2022-12-01",4373969,"ipfs",20073,93714
"2023-01-01",3583513,"ipfs",18456,74019
"2023-01-01",938944,"data",2772,110651
"2023-01-01",4759150,"https",25818,222663
"2023-02-01",2343931,"ipfs",16088,55115
"2023-02-01",1492509,"data",2533,354201
"2023-02-01",3584405,"https",22080,161933
"2023-03-01",1242498,"data",2831,257226
"2023-03-01",3217334,"https",19849,168353
"2023-03-01",3058782,"ipfs",16973,137859
"2023-04-01",335494,"data",2066,110425
"2023-04-01",2225033,"https",16090,158415
"2023-04-01",2629043,"ipfs",13357,247036
"2023-05-01",824008,"https",9636,161295
"2023-05-01",188424,"data",868,103107
"2023-05-01",698087,"ipfs",7510,37697
