11546217,"https","galaxy.eco",482,6152890
4653992,"https","spacecrypto.io",2,4657020
9848216,"https","cryptoblades.io",4,3897906
5135211,"https","lifeform.cc",11,2519624
3754786,"https","pinata.cloud",1814,902042
886497,"https","binance.info",3,806589
787370,"https","venus.io",1,790231
16649139,"https","amazonaws.com",2176,700160
5302671,"https","starsharks.com",4,688306
1644113,"https","mypinata.cloud",7607,659091
1673489,"https","space.id",6,649581
5298777,"https","cyberconnect.dev",6153,647651
3843058,"https","xwg.games",19,628311
1831216,"https","nftstatic.com",1611,567339
1100471,"https","polkamon.com",24,530667
1627126,"https","mixmarvel.com",2,461665
532827,"https","apemove.io",2,458808
1809454,"https","tinyworlds.io",6,448149
914182,"https","heroesempires.com",9,420708
542943,"http","catgirl.io",2,418449
797495,"https","bunnypark.com",6,359853
973104,"https","thetanarena.com",2,346244
567679,"https","era7.io",1,313658
537252,"https","bnbheroes.io",1,311406
294252,"https","lpntoken.net",1,296791
330672,"https","landian.io",5,251152
5110887,"https","ipfs.io",3666,240009
243437,"https","dungeonswap.app",2,233455
230141,"https","dragonary.com",3,232533
271483,"https","puma.social",1,232118
390821,"https","quest3.xyz",363,228046
530340,"https","nft-gods.com",14,224221
831267,"https","storage.googleapis.com",151,222196
540708,"https","itam.games",2,221456
1515289,"https","elemon.io",6,214002
203303,"https","titanhunters.io",3,202704
301658,"https","combonetwork.io",3,197392
195287,"https","degenreborn.xyz",4,191366
3277693,"https","squid-nft.io",9,188943
264458,"https","esfi.io",7,186945
246598,"https","airnfts.com",6,178678
684420,"https","orakler.com",3,176566
460410,"https","nftbox.vip",7,173694
219555,"https","fishcrypto.io",2,169436
205248,"https","cryptoz.cards",1,168273
787868,"https","position.exchange",3,150877
275039,"https","binemon.io",3,149604
